"","date","hits","keyword","geo","time","gprop","category"
"1",2019-03-31,54,"Netflix","US","today+5-y","web",0
"2",2019-04-07,51,"Netflix","US","today+5-y","web",0
"3",2019-04-14,53,"Netflix","US","today+5-y","web",0
"4",2019-04-21,49,"Netflix","US","today+5-y","web",0
"5",2019-04-28,54,"Netflix","US","today+5-y","web",0
"6",2019-05-05,52,"Netflix","US","today+5-y","web",0
"7",2019-05-12,51,"Netflix","US","today+5-y","web",0
"8",2019-05-19,55,"Netflix","US","today+5-y","web",0
"9",2019-05-26,62,"Netflix","US","today+5-y","web",0
"10",2019-06-02,59,"Netflix","US","today+5-y","web",0
"11",2019-06-09,54,"Netflix","US","today+5-y","web",0
"12",2019-06-16,58,"Netflix","US","today+5-y","web",0
"13",2019-06-23,58,"Netflix","US","today+5-y","web",0
"14",2019-06-30,58,"Netflix","US","today+5-y","web",0
"15",2019-07-07,55,"Netflix","US","today+5-y","web",0
"16",2019-07-14,58,"Netflix","US","today+5-y","web",0
"17",2019-07-21,58,"Netflix","US","today+5-y","web",0
"18",2019-07-28,54,"Netflix","US","today+5-y","web",0
"19",2019-08-04,53,"Netflix","US","today+5-y","web",0
"20",2019-08-11,52,"Netflix","US","today+5-y","web",0
"21",2019-08-18,53,"Netflix","US","today+5-y","web",0
"22",2019-08-25,55,"Netflix","US","today+5-y","web",0
"23",2019-09-01,53,"Netflix","US","today+5-y","web",0
"24",2019-09-08,46,"Netflix","US","today+5-y","web",0
"25",2019-09-15,53,"Netflix","US","today+5-y","web",0
"26",2019-09-22,51,"Netflix","US","today+5-y","web",0
"27",2019-09-29,52,"Netflix","US","today+5-y","web",0
"28",2019-10-06,52,"Netflix","US","today+5-y","web",0
"29",2019-10-13,51,"Netflix","US","today+5-y","web",0
"30",2019-10-20,54,"Netflix","US","today+5-y","web",0
"31",2019-10-27,51,"Netflix","US","today+5-y","web",0
"32",2019-11-03,54,"Netflix","US","today+5-y","web",0
"33",2019-11-10,55,"Netflix","US","today+5-y","web",0
"34",2019-11-17,48,"Netflix","US","today+5-y","web",0
"35",2019-11-24,58,"Netflix","US","today+5-y","web",0
"36",2019-12-01,50,"Netflix","US","today+5-y","web",0
"37",2019-12-08,47,"Netflix","US","today+5-y","web",0
"38",2019-12-15,60,"Netflix","US","today+5-y","web",0
"39",2019-12-22,75,"Netflix","US","today+5-y","web",0
"40",2019-12-29,85,"Netflix","US","today+5-y","web",0
"41",2020-01-05,66,"Netflix","US","today+5-y","web",0
"42",2020-01-12,63,"Netflix","US","today+5-y","web",0
"43",2020-01-19,65,"Netflix","US","today+5-y","web",0
"44",2020-01-26,55,"Netflix","US","today+5-y","web",0
"45",2020-02-02,55,"Netflix","US","today+5-y","web",0
"46",2020-02-09,58,"Netflix","US","today+5-y","web",0
"47",2020-02-16,54,"Netflix","US","today+5-y","web",0
"48",2020-02-23,57,"Netflix","US","today+5-y","web",0
"49",2020-03-01,53,"Netflix","US","today+5-y","web",0
"50",2020-03-08,55,"Netflix","US","today+5-y","web",0
"51",2020-03-15,88,"Netflix","US","today+5-y","web",0
"52",2020-03-22,100,"Netflix","US","today+5-y","web",0
"53",2020-03-29,94,"Netflix","US","today+5-y","web",0
"54",2020-04-05,82,"Netflix","US","today+5-y","web",0
"55",2020-04-12,80,"Netflix","US","today+5-y","web",0
"56",2020-04-19,93,"Netflix","US","today+5-y","web",0
"57",2020-04-26,81,"Netflix","US","today+5-y","web",0
"58",2020-05-03,79,"Netflix","US","today+5-y","web",0
"59",2020-05-10,75,"Netflix","US","today+5-y","web",0
"60",2020-05-17,71,"Netflix","US","today+5-y","web",0
"61",2020-05-24,77,"Netflix","US","today+5-y","web",0
"62",2020-05-31,61,"Netflix","US","today+5-y","web",0
"63",2020-06-07,65,"Netflix","US","today+5-y","web",0
"64",2020-06-14,60,"Netflix","US","today+5-y","web",0
"65",2020-06-21,64,"Netflix","US","today+5-y","web",0
"66",2020-06-28,69,"Netflix","US","today+5-y","web",0
"67",2020-07-05,68,"Netflix","US","today+5-y","web",0
"68",2020-07-12,65,"Netflix","US","today+5-y","web",0
"69",2020-07-19,66,"Netflix","US","today+5-y","web",0
"70",2020-07-26,62,"Netflix","US","today+5-y","web",0
"71",2020-08-02,62,"Netflix","US","today+5-y","web",0
"72",2020-08-09,59,"Netflix","US","today+5-y","web",0
"73",2020-08-16,65,"Netflix","US","today+5-y","web",0
"74",2020-08-23,58,"Netflix","US","today+5-y","web",0
"75",2020-08-30,59,"Netflix","US","today+5-y","web",0
"76",2020-09-06,76,"Netflix","US","today+5-y","web",0
"77",2020-09-13,78,"Netflix","US","today+5-y","web",0
"78",2020-09-20,64,"Netflix","US","today+5-y","web",0
"79",2020-09-27,61,"Netflix","US","today+5-y","web",0
"80",2020-10-04,61,"Netflix","US","today+5-y","web",0
"81",2020-10-11,58,"Netflix","US","today+5-y","web",0
"82",2020-10-18,60,"Netflix","US","today+5-y","web",0
"83",2020-10-25,64,"Netflix","US","today+5-y","web",0
"84",2020-11-01,47,"Netflix","US","today+5-y","web",0
"85",2020-11-08,55,"Netflix","US","today+5-y","web",0
"86",2020-11-15,58,"Netflix","US","today+5-y","web",0
"87",2020-11-22,65,"Netflix","US","today+5-y","web",0
"88",2020-11-29,59,"Netflix","US","today+5-y","web",0
"89",2020-12-06,60,"Netflix","US","today+5-y","web",0
"90",2020-12-13,60,"Netflix","US","today+5-y","web",0
"91",2020-12-20,68,"Netflix","US","today+5-y","web",0
"92",2020-12-27,78,"Netflix","US","today+5-y","web",0
"93",2021-01-03,60,"Netflix","US","today+5-y","web",0
"94",2021-01-10,61,"Netflix","US","today+5-y","web",0
"95",2021-01-17,67,"Netflix","US","today+5-y","web",0
"96",2021-01-24,63,"Netflix","US","today+5-y","web",0
"97",2021-01-31,66,"Netflix","US","today+5-y","web",0
"98",2021-02-07,56,"Netflix","US","today+5-y","web",0
"99",2021-02-14,63,"Netflix","US","today+5-y","web",0
"100",2021-02-21,55,"Netflix","US","today+5-y","web",0
"101",2021-02-28,54,"Netflix","US","today+5-y","web",0
"102",2021-03-07,49,"Netflix","US","today+5-y","web",0
"103",2021-03-14,48,"Netflix","US","today+5-y","web",0
"104",2021-03-21,49,"Netflix","US","today+5-y","web",0
"105",2021-03-28,49,"Netflix","US","today+5-y","web",0
"106",2021-04-04,47,"Netflix","US","today+5-y","web",0
"107",2021-04-11,45,"Netflix","US","today+5-y","web",0
"108",2021-04-18,50,"Netflix","US","today+5-y","web",0
"109",2021-04-25,48,"Netflix","US","today+5-y","web",0
"110",2021-05-02,46,"Netflix","US","today+5-y","web",0
"111",2021-05-09,48,"Netflix","US","today+5-y","web",0
"112",2021-05-16,46,"Netflix","US","today+5-y","web",0
"113",2021-05-23,47,"Netflix","US","today+5-y","web",0
"114",2021-05-30,50,"Netflix","US","today+5-y","web",0
"115",2021-06-06,47,"Netflix","US","today+5-y","web",0
"116",2021-06-13,45,"Netflix","US","today+5-y","web",0
"117",2021-06-20,49,"Netflix","US","today+5-y","web",0
"118",2021-06-27,52,"Netflix","US","today+5-y","web",0
"119",2021-07-04,53,"Netflix","US","today+5-y","web",0
"120",2021-07-11,51,"Netflix","US","today+5-y","web",0
"121",2021-07-18,48,"Netflix","US","today+5-y","web",0
"122",2021-07-25,46,"Netflix","US","today+5-y","web",0
"123",2021-08-01,48,"Netflix","US","today+5-y","web",0
"124",2021-08-08,48,"Netflix","US","today+5-y","web",0
"125",2021-08-15,49,"Netflix","US","today+5-y","web",0
"126",2021-08-22,50,"Netflix","US","today+5-y","web",0
"127",2021-08-29,48,"Netflix","US","today+5-y","web",0
"128",2021-09-05,48,"Netflix","US","today+5-y","web",0
"129",2021-09-12,47,"Netflix","US","today+5-y","web",0
"130",2021-09-19,50,"Netflix","US","today+5-y","web",0
"131",2021-09-26,51,"Netflix","US","today+5-y","web",0
"132",2021-10-03,55,"Netflix","US","today+5-y","web",0
"133",2021-10-10,53,"Netflix","US","today+5-y","web",0
"134",2021-10-17,56,"Netflix","US","today+5-y","web",0
"135",2021-10-24,49,"Netflix","US","today+5-y","web",0
"136",2021-10-31,50,"Netflix","US","today+5-y","web",0
"137",2021-11-07,50,"Netflix","US","today+5-y","web",0
"138",2021-11-14,48,"Netflix","US","today+5-y","web",0
"139",2021-11-21,55,"Netflix","US","today+5-y","web",0
"140",2021-11-28,49,"Netflix","US","today+5-y","web",0
"141",2021-12-05,47,"Netflix","US","today+5-y","web",0
"142",2021-12-12,50,"Netflix","US","today+5-y","web",0
"143",2021-12-19,53,"Netflix","US","today+5-y","web",0
"144",2021-12-26,62,"Netflix","US","today+5-y","web",0
"145",2022-01-02,64,"Netflix","US","today+5-y","web",0
"146",2022-01-09,58,"Netflix","US","today+5-y","web",0
"147",2022-01-16,58,"Netflix","US","today+5-y","web",0
"148",2022-01-23,52,"Netflix","US","today+5-y","web",0
"149",2022-01-30,58,"Netflix","US","today+5-y","web",0
"150",2022-02-06,52,"Netflix","US","today+5-y","web",0
"151",2022-02-13,49,"Netflix","US","today+5-y","web",0
"152",2022-02-20,54,"Netflix","US","today+5-y","web",0
"153",2022-02-27,50,"Netflix","US","today+5-y","web",0
"154",2022-03-06,52,"Netflix","US","today+5-y","web",0
"155",2022-03-13,52,"Netflix","US","today+5-y","web",0
"156",2022-03-20,50,"Netflix","US","today+5-y","web",0
"157",2022-03-27,46,"Netflix","US","today+5-y","web",0
"158",2022-04-03,46,"Netflix","US","today+5-y","web",0
"159",2022-04-10,50,"Netflix","US","today+5-y","web",0
"160",2022-04-17,63,"Netflix","US","today+5-y","web",0
"161",2022-04-24,53,"Netflix","US","today+5-y","web",0
"162",2022-05-01,49,"Netflix","US","today+5-y","web",0
"163",2022-05-08,48,"Netflix","US","today+5-y","web",0
"164",2022-05-15,49,"Netflix","US","today+5-y","web",0
"165",2022-05-22,49,"Netflix","US","today+5-y","web",0
"166",2022-05-29,55,"Netflix","US","today+5-y","web",0
"167",2022-06-05,51,"Netflix","US","today+5-y","web",0
"168",2022-06-12,49,"Netflix","US","today+5-y","web",0
"169",2022-06-19,53,"Netflix","US","today+5-y","web",0
"170",2022-06-26,53,"Netflix","US","today+5-y","web",0
"171",2022-07-03,53,"Netflix","US","today+5-y","web",0
"172",2022-07-10,56,"Netflix","US","today+5-y","web",0
"173",2022-07-17,63,"Netflix","US","today+5-y","web",0
"174",2022-07-24,54,"Netflix","US","today+5-y","web",0
"175",2022-07-31,57,"Netflix","US","today+5-y","web",0
"176",2022-08-07,54,"Netflix","US","today+5-y","web",0
"177",2022-08-14,55,"Netflix","US","today+5-y","web",0
"178",2022-08-21,55,"Netflix","US","today+5-y","web",0
"179",2022-08-28,51,"Netflix","US","today+5-y","web",0
"180",2022-09-04,51,"Netflix","US","today+5-y","web",0
"181",2022-09-11,46,"Netflix","US","today+5-y","web",0
"182",2022-09-18,56,"Netflix","US","today+5-y","web",0
"183",2022-09-25,68,"Netflix","US","today+5-y","web",0
"184",2022-10-02,58,"Netflix","US","today+5-y","web",0
"185",2022-10-09,55,"Netflix","US","today+5-y","web",0
"186",2022-10-16,53,"Netflix","US","today+5-y","web",0
"187",2022-10-23,54,"Netflix","US","today+5-y","web",0
"188",2022-10-30,53,"Netflix","US","today+5-y","web",0
"189",2022-11-06,48,"Netflix","US","today+5-y","web",0
"190",2022-11-13,47,"Netflix","US","today+5-y","web",0
"191",2022-11-20,62,"Netflix","US","today+5-y","web",0
"192",2022-11-27,58,"Netflix","US","today+5-y","web",0
"193",2022-12-04,53,"Netflix","US","today+5-y","web",0
"194",2022-12-11,54,"Netflix","US","today+5-y","web",0
"195",2022-12-18,58,"Netflix","US","today+5-y","web",0
"196",2022-12-25,63,"Netflix","US","today+5-y","web",0
"197",2023-01-01,58,"Netflix","US","today+5-y","web",0
"198",2023-01-08,53,"Netflix","US","today+5-y","web",0
"199",2023-01-15,55,"Netflix","US","today+5-y","web",0
"200",2023-01-22,51,"Netflix","US","today+5-y","web",0
"201",2023-01-29,55,"Netflix","US","today+5-y","web",0
"202",2023-02-05,48,"Netflix","US","today+5-y","web",0
"203",2023-02-12,48,"Netflix","US","today+5-y","web",0
"204",2023-02-19,54,"Netflix","US","today+5-y","web",0
"205",2023-02-26,49,"Netflix","US","today+5-y","web",0
"206",2023-03-05,49,"Netflix","US","today+5-y","web",0
"207",2023-03-12,48,"Netflix","US","today+5-y","web",0
"208",2023-03-19,45,"Netflix","US","today+5-y","web",0
"209",2023-03-26,48,"Netflix","US","today+5-y","web",0
"210",2023-04-02,47,"Netflix","US","today+5-y","web",0
"211",2023-04-09,52,"Netflix","US","today+5-y","web",0
"212",2023-04-16,53,"Netflix","US","today+5-y","web",0
"213",2023-04-23,48,"Netflix","US","today+5-y","web",0
"214",2023-04-30,45,"Netflix","US","today+5-y","web",0
"215",2023-05-07,42,"Netflix","US","today+5-y","web",0
"216",2023-05-14,47,"Netflix","US","today+5-y","web",0
"217",2023-05-21,54,"Netflix","US","today+5-y","web",0
"218",2023-05-28,51,"Netflix","US","today+5-y","web",0
"219",2023-06-04,51,"Netflix","US","today+5-y","web",0
"220",2023-06-11,51,"Netflix","US","today+5-y","web",0
"221",2023-06-18,52,"Netflix","US","today+5-y","web",0
"222",2023-06-25,49,"Netflix","US","today+5-y","web",0
"223",2023-07-02,52,"Netflix","US","today+5-y","web",0
"224",2023-07-09,50,"Netflix","US","today+5-y","web",0
"225",2023-07-16,49,"Netflix","US","today+5-y","web",0
"226",2023-07-23,47,"Netflix","US","today+5-y","web",0
"227",2023-07-30,41,"Netflix","US","today+5-y","web",0
"228",2023-08-06,46,"Netflix","US","today+5-y","web",0
"229",2023-08-13,46,"Netflix","US","today+5-y","web",0
"230",2023-08-20,45,"Netflix","US","today+5-y","web",0
"231",2023-08-27,46,"Netflix","US","today+5-y","web",0
"232",2023-09-03,49,"Netflix","US","today+5-y","web",0
"233",2023-09-10,42,"Netflix","US","today+5-y","web",0
"234",2023-09-17,42,"Netflix","US","today+5-y","web",0
"235",2023-09-24,45,"Netflix","US","today+5-y","web",0
"236",2023-10-01,43,"Netflix","US","today+5-y","web",0
"237",2023-10-08,44,"Netflix","US","today+5-y","web",0
"238",2023-10-15,45,"Netflix","US","today+5-y","web",0
"239",2023-10-22,45,"Netflix","US","today+5-y","web",0
"240",2023-10-29,45,"Netflix","US","today+5-y","web",0
"241",2023-11-05,44,"Netflix","US","today+5-y","web",0
"242",2023-11-12,46,"Netflix","US","today+5-y","web",0
"243",2023-11-19,54,"Netflix","US","today+5-y","web",0
"244",2023-11-26,47,"Netflix","US","today+5-y","web",0
"245",2023-12-03,44,"Netflix","US","today+5-y","web",0
"246",2023-12-10,51,"Netflix","US","today+5-y","web",0
"247",2023-12-17,49,"Netflix","US","today+5-y","web",0
"248",2023-12-24,56,"Netflix","US","today+5-y","web",0
"249",2023-12-31,58,"Netflix","US","today+5-y","web",0
"250",2024-01-07,53,"Netflix","US","today+5-y","web",0
"251",2024-01-14,53,"Netflix","US","today+5-y","web",0
"252",2024-01-21,56,"Netflix","US","today+5-y","web",0
"253",2024-01-28,50,"Netflix","US","today+5-y","web",0
"254",2024-02-04,47,"Netflix","US","today+5-y","web",0
"255",2024-02-11,48,"Netflix","US","today+5-y","web",0
"256",2024-02-18,59,"Netflix","US","today+5-y","web",0
"257",2024-02-25,53,"Netflix","US","today+5-y","web",0
"258",2024-03-03,48,"Netflix","US","today+5-y","web",0
"259",2024-03-10,49,"Netflix","US","today+5-y","web",0
"260",2024-03-17,45,"Netflix","US","today+5-y","web",0
"261",2024-03-24,46,"Netflix","US","today+5-y","web",0
"262",2024-03-31,41,"Netflix","US","today+5-y","web",0
